Linie	KNO3 [mM]	PR length fiji	PR length [cm]	LR count 	LRD [1/cm]				
6145	0.1	1.920	4,88	8	1,64				
6145	0.1	2.103	5,34	11	2,06				
6145	0.1	2.363	6,00	10	1,67				
6145	0.1	2.277	5,78	10	1,73				
6145	0.1	2.251	5,72	14	2,45				
6145	0.1	2.056	5,22	13	2,49				
6145	0.1	2.027	5,15	10	1,94				
6145	0.1	1.841	4,68	7	1,50				
6145	0.1	2.170	5,51	8	1,45				
6145	0.1	1.843	4,68	8	1,71				
6145	0.1	1.873	4,76	10	2,10				
6145	0.1	1.795	4,56	6	1,32				
6145	0.1	1.618	4,11	7	1,70				
6145	0.1	2.032	5,16	10	1,94				
6145	0.5	2.686	6,82	14	2,05				
6145	0.5	2.452	6,23	14	2,25				
6145	0.5	2.100	5,33	10	1,87				
6145	0.5	2.247	5,71	13	2,28				
6145	0.5	2.352	5,97	14	2,34				
6145	0.5	2.232	5,67	14	2,47				
6145	0.5	2.518	6,40	13	2,03				
6145	0.5	2.699	6,86	11	1,60				
6145	0.5	1.971	5,01	12	2,40				
6145	0.5	2.481	6,30	15	2,38				
6145	0.5	2.943	7,48	16	2,14				
6145	0.5	2.206	5,60	19	3,39				
6145	0.5	2.695	6,85	16	2,34				
6145	0.5	3.076	7,81	17	2,18				
6145	0.5	2.530	6,43	13	2,02				
6145	0.5	2.693	6,84	12	1,75				
6145	0.5	2.652	6,74	14	2,08				
6145	0.5	2.218	5,63	11	1,95				
6145	0.5	2.260	5,74	13	2,26				
6145	0.5	2.234	5,67	12	2,11				
6145	2	2.704	6,87	10	1,46				
6145	2	2.905	7,38	16	2,17				
6145	2	2.594	6,59	14	2,12				
6145	2	2.463	6,26	14	2,24				
6145	2	2.222	5,64	15	2,66				
6145	2	3.057	7,76	16	2,06				
6145	2	2.818	7,16	14	1,96				
6145	2	2.739	6,96	16	2,30				
6145	2	3.184	8,09	18	2,23				
6145	2	2.792	7,09	14	1,97				
6145	2	2.610	6,63	12	1,81				
6145	2	2.618	6,65	9	1,35				
6145	2	2.837	7,21	16	2,22				
6145	2	3.027	7,69	15	1,95				
6145	2	2.461	6,25	13	2,08				
6145	2	3.051	7,75	18	2,32				
6145	2	2.736	6,95	15	2,16				
6145	2	2.935	7,45	15	2,01				
6145	2	NA	NA	NA	NA				
6145	2	2.664	6,77	12	1,77				
6145	5	2.870	7,29	12	1,65				
6145	5	2.841	7,22	8	1,11				
6145	5	2.893	7,35	11	1,50				
6145	5	2.661	6,76	9	1,33				
6145	5	2.472	6,28	12	1,91				
6145	5	3.132	7,96	13	1,63				
6145	5	3.023	7,68	14	1,82				
6145	5	2.821	7,17	14	1,95				
6145	5	2.677	6,80	12	1,76				
6145	5	2.407	6,11	11	1,80				
6145	5	3.107	7,89	12	1,52				
6145	5	2.575	6,54	17	2,60				
6145	5	2.828	7,18	7	0,97				
6145	5	3.161	8,03	12	1,49				
6145	5	2.747	6,98	15	2,15				
6145	5	2.968	7,54	11	1,46				
6145	5	2.755	7,00	11	1,57				
6145	5	3.117	7,92	11	1,39				
6145	5	2.436	6,19	10	1,62				
6145	5	2.931	7,44	13	1,75				
6145	10	2.691	6,84	12	1,76				
6145	10	2.273	5,77	11	1,91				
6145	10	2.657	6,75	13	1,93				
6145	10	2.346	5,96	6	1,01				
6145	10	2.702	6,86	12	1,75				
6145	10	2.708	6,88	13	1,89				
6145	10	2.613	6,64	11	1,66				
6145	10	2.296	5,83	8	1,37				
6145	10	2.596	6,59	11	1,67				
6145	10	2.087	5,30	6	1,13				
6145	10	2.577	6,55	11	1,68				
6145	10	2.965	7,53	13	1,73				
6145	10	2.745	6,97	11	1,58				
6145	10	2.911	7,39	4	0,54				
6145	10	2.632	6,69	12	1,79				
6145	10	2.722	6,91	12	1,74				
6145	10	2.862	7,27	14	1,93				
6145	10	2.311	5,87	10	1,70				
6145	10	2.728	6,93	10	1,44				
6145	10	2.748	6,98	12	1,72				
6145	20	2.252	5,72	8	1,40				
6145	20	2.201	5,59	8	1,43				
6145	20	1.955	4,97	7	1,41				
6145	20	2.298	5,84	6	1,03				
6145	20	2.388	6,07	6	0,99				
6145	20	2.688	6,83	15	2,20				
6145	20	2.370	6,02	10	1,66				
6145	20	2.618	6,65	10	1,50				
6145	20	2.597	6,60	12	1,82				
6145	20	2.207	5,61	9	1,61				
6145	20	2.055	5,22	5	0,96				
6145	20	2.415	6,13	7	1,14				
6145	20	2.296	5,83	6	1,03				
6145	20	2.466	6,26	8	1,28				
6145	20	2.416	6,14	8	1,30				
6145	20	2.080	5,28	10	1,89				
6145	20	2.283	5,80	8	1,38				
6145	20	2.066	5,25	8	1,52				
6145	20	2.348	5,96	7	1,17				
6145	20	2.250	5,72	9	1,57				
6188	0.1	2.228	5,66	13	2,30				
6188	0.1	1.851	4,70	9	1,91				
6188	0.1	2.157	5,48	14	2,56				
6188	0.1	2.086	5,30	10	1,89				
6188	0.1	1.960	4,98	11	2,21				
6188	0.1	2.001	5,08	12	2,36				
6188	0.1	1.891	4,80	10	2,08				
6188	0.1	1.930	4,90	13	2,65				
6188	0.1	1.927	4,89	12	2,45				
6188	0.1	1.910	4,85	13	2,68				
6188	0.1	2.037	5,17	13	2,51				
6188	0.1	2.055	5,22	14	2,68				
6188	0.1	2.335	5,93	15	2,53				
6188	0.1	2.206	5,60	14	2,50				
6188	0.1	NA	NA	NA	NA				
6188	0.1	2.155	5,47	14	2,56				
6188	0.1	1.869	4,75	10	2,11				
6188	0.1	2.006	5,10	10	1,96				
6188	0.1	2.197	5,58	14	2,51				
6188	0.1	1.966	4,99	12	2,40				
6188	0.5	2.456	6,24	12	1,92				
6188	0.5	2.334	5,93	13	2,19				
6188	0.5	2.181	5,54	8	1,44				
6188	0.5	NA	NA	NA	NA				
6188	0.5	2.274	5,78	10	1,73				
6188	0.5	2.232	5,67	12	2,12				
6188	0.5	2.594	6,59	13	1,97				
6188	0.5	2.345	5,96	11	1,85				
6188	0.5	2.403	6,10	10	1,64				
6188	0.5	1.836	4,66	12	2,57				
6188	0.5	2.975	7,56	19	2,51				
6188	0.5	2.956	7,51	14	1,86				
6188	0.5	2.338	5,94	14	2,36				
6188	0.5	NA	NA	NA	NA				
6188	0.5	1.811	4,60	17	3,70				
6188	0.5	2.718	6,90	13	1,88				
6188	0.5	2.434	6,18	12	1,94				
6188	0.5	2.477	6,29	12	1,91				
6188	0.5	2.313	5,88	12	2,04				
6188	0.5	2.072	5,26	15	2,85				
6188	2	2.613	6,64	14	2,11				
6188	2	2.104	5,34	10	1,87				
6188	2	3.013	7,65	13	1,70				
6188	2	2.837	7,21	16	2,22				
6188	2	2.040	5,18	15	2,89				
6188	2	3.025	7,68	16	2,08				
6188	2	2.830	7,19	17	2,36				
6188	2	2.264	5,75	13	2,26				
6188	2	3.072	7,80	18	2,31				
6188	2	2.379	6,04	18	2,98				
6188	2	3.258	8,28	14	1,69				
6188	2	2.256	5,73	20	3,49				
6188	2	3.007	7,64	14	1,83				
6188	2	2.837	7,21	16	2,22				
6188	2	2.372	6,02	10	1,66				
6188	2	2.945	7,48	11	1,47				
6188	2	3.102	7,88	17	2,16				
6188	2	3.120	7,92	19	2,40				
6188	2	3.081	7,83	13	1,66				
